	Common Settings;	
	.Source/Sweep Points;	100
	.Repeat;	0
	.Source to Measure Delay;	0,1
	.Measure Window;	20 ms
	.NPLC;	1
	.Channel;	SMU-1
	..Instrument;	My 2450
	...Model;	2450
	...Serial Number;	04644437
	..Source Settings;	
	...Mode;	DC
	...Function;	Voltage Sweep
	...Type;	Linear
	...Dual Sweep;	Disabled
	...Range;	Auto
	...Start;	-1
	...Stop;	1
	...Step;	0,0202020202020202
	...Limit;	0,001
	..Measure Settings;	
	...Voltage;	Measured
	...Current;	True
	...Range;	Auto
	...Minimum Range;	1E-08
	...Resistance;	False
	...Power;	True
	...Auto Zero;	On
	..Instrument Settings;	
	...Input Terminals;	Front
	...Sense;	2-Wire
	...Output Off;	Normal
	...High Capacitance;	False

"Index";"SMU-1 Time (s)";"SMU-1 Voltage (V)";"SMU-1 Current (A)";"SMU-1 Power (W)"
"1";"0";"-0,999996542930603";"-4,77946123282891E-05";"4,77944470989975E-05"
"2";"0,18264844";"-0,97980010509491";"-4,67796235170681E-05";"4,58346800383236E-05"
"3";"0,36529748";"-0,95959210395813";"-4,58203612652142E-05";"4,39688568706085E-05"
"4";"0,54793982";"-0,939388632774353";"-4,4801887270296E-05";"4,2086383628554E-05"
"5";"0,73056828";"-0,919183850288391";"-4,38314309576526E-05";"4,02891434713049E-05"
"6";"0,91322216";"-0,898983895778656";"-4,28813618782442E-05";"3,85496537575983E-05"
"7";"1,09586136";"-0,87878006696701";"-4,18937343056314E-05";"3,68153786386009E-05"
"8";"1,2784913";"-0,858608543872833";"-4,08876403525937E-05";"3,51064773455366E-05"
"9";"1,46111884";"-0,838404595851898";"-3,98862575821113E-05";"3,34408216681747E-05"
"10";"1,6437403";"-0,818201541900635";"-3,89306587749161E-05";"3,18531250368438E-05"
"11";"1,82637358";"-0,798000276088715";"-3,7951616832288E-05";"3,02854007101789E-05"
"12";"2,00902296";"-0,777796030044556";"-3,69593835785054E-05";"2,87468618202554E-05"
"13";"2,1916614";"-0,757591187953949";"-3,59731820935849E-05";"2,72529657567627E-05"
"14";"2,37430714";"-0,737357199192047";"-3,49983456544578E-05";"2,58062821281262E-05"
"15";"2,55694056";"-0,717148542404175";"-3,39956714014988E-05";"2,43799461936362E-05"
"16";"2,7395738";"-0,69694983959198";"-3,300065145595E-05";"2,29997987386552E-05"
"17";"2,92221262";"-0,676742255687714";"-3,20091130561195E-05";"2,16619193721614E-05"
"18";"3,1048309";"-0,656541347503662";"-3,1020914320834E-05";"2,0366512888996E-05"
"19";"3,28747184";"-0,636340081691742";"-3,00156862067524E-05";"1,91001842128385E-05"
"20";"3,47011902";"-0,61613255739212";"-2,89984782284591E-05";"1,78669065513803E-05"
"21";"3,6527629";"-0,595929741859436";"-2,79924042843049E-05";"1,66815062591708E-05"
"22";"3,83539754";"-0,575759172439575";"-2,69775136985118E-05";"1,55325509615324E-05"
"23";"4,0180442";"-0,555553734302521";"-2,59552034549415E-05";"1,44195102039744E-05"
"24";"4,20065816";"-0,535353064537048";"-2,49225377046969E-05";"1,33423569362496E-05"
"25";"4,3832813";"-0,515144526958466";"-2,38951979554258E-05";"1,23094804473267E-05"
"26";"4,56590454";"-0,494946360588074";"-2,28486223932123E-05";"1,13088424979716E-05"
"27";"4,7485376";"-0,474741518497467";"-2,18202967516845E-05";"1,03590008139601E-05"
"28";"4,931167";"-0,45453667640686";"-2,07829998544184E-05";"9,44663567959162E-06"
"29";"5,1137982";"-0,434338688850403";"-1,97214721993078E-05";"8,565798377247E-06"
