	Common Settings;	
	.Source/Sweep Points;	100
	.Repeat;	0
	.Source to Measure Delay;	0,1
	.Measure Window;	20 ms
	.NPLC;	1
	.Channel;	SMU-1
	..Instrument;	My 2450
	...Model;	2450
	...Serial Number;	04644437
	..Source Settings;	
	...Mode;	DC
	...Function;	Voltage Sweep
	...Type;	Linear
	...Dual Sweep;	Disabled
	...Range;	Auto
	...Start;	-1
	...Stop;	1
	...Step;	0,0202020202020202
	...Limit;	0,001
	..Measure Settings;	
	...Voltage;	Measured
	...Current;	True
	...Range;	Auto
	...Minimum Range;	1E-08
	...Resistance;	False
	...Power;	False
	...Auto Zero;	On
	..Instrument Settings;	
	...Input Terminals;	Front
	...Sense;	2-Wire
	...Output Off;	Normal
	...High Capacitance;	False

"Index";"SMU-1 Time (s)";"SMU-1 Voltage (V)";"SMU-1 Current (A)"
"1";"0";"-0,999995291233063";"-4,77967187180184E-05"
"2";"0,18264182";"-0,979799330234528";"-4,67840545752551E-05"
"3";"0,36526488";"-0,959589660167694";"-4,5803146349499E-05"
"4";"0,54788666";"-0,939389109611511";"-4,48145947302692E-05"
"5";"0,730511";"-0,919184386730194";"-4,38737260992639E-05"
"6";"0,91314496";"-0,898982346057892";"-4,29229548899457E-05"
"7";"1,09577326";"-0,878780364990234";"-4,19576135755051E-05"
"8";"1,27839684";"-0,858608603477478";"-4,09800486522727E-05"
"9";"1,46102374";"-0,838403463363647";"-4,00215030822437E-05"
"10";"1,64365466";"-0,818200707435608";"-3,90434652217664E-05"
"11";"1,82628972";"-0,798001825809479";"-3,80389101337641E-05"
"12";"2,00891032";"-0,777797341346741";"-3,70775087503716E-05"
"13";"2,19153604";"-0,757591187953949";"-3,60490703315008E-05"
"14";"2,37418422";"-0,737355291843414";"-3,51210837834515E-05"
"15";"2,55681178";"-0,717147529125214";"-3,41299128194805E-05"
"16";"2,73943424";"-0,696950256824493";"-3,3134772820631E-05"
"17";"2,92207824";"-0,676742136478424";"-3,21355801133905E-05"
"18";"3,10470804";"-0,656540274620056";"-3,1123316148296E-05"
"19";"3,287342";"-0,636339962482452";"-3,0118870199658E-05"
"20";"3,46995758";"-0,616133391857147";"-2,9121609259164E-05"
"21";"3,65258356";"-0,595929682254791";"-2,80930162261939E-05"
